TAXON,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,SPECIES,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC
Silphium integrifolium var. laeve,Rosinweed,Silphium,Silphium integrifolium,var.,laeve,Silphium integrifolium var. laeve Torr. & A.Gray,,Y,Y,Y,Y,potential as an oilseed crop (see Reinert 2019),N,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,,T4,NNA,"AR(SNR), CO(SH), IL(SNR), KS(SNR), KY(SNR), MO(SNR), NE(SNR), OK(SNR), TX(SNR), WY(S1)",ON(SNA),
Silphium perfoliatum,Rosinweed,Silphium,Silphium perfoliatum,NA,NA,Silphium perfoliatum L.,,Y,N,Y,Y,potential as an oilseed crop (see Reinert 2019),Y,Food,Medicinals,NA,Oils,Medicinals,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,,G5,N2,"AL(SNR), AR(SNR), CT(SNR), DE(SNA), GA(SNR), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S4S5), LA(S1?), MA(SNR), MD(SNR), ME(SNR), MI(S2), MN(SNR), MO(SNR), MS(SNR), NC(SNR), ND(SNR), NE(SNR), NJ(SNR), NY(SNA), OH(SNR), OK(SNR), PA(S4), SD(SNR), TN(SNR), VA(S3S4), VT(SNR), WI(SNR), WV(S3)","NB(SNA), ON(S2), ON(S2), QC(SNA)",
Crataegus lumaria,Hawthorn,Crataegus,Crataegus lumaria,NA,NA,Crataegus lumaria Ashe,,,Y,Y,Y,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA,NA,,,,,,,,,,,CANADENSYS 2021,,Kuhnlein and Turner 2020,G3,N2,"CT(SNR), MA(SH), MI(SNR), NY(SH), WI(SNR)","ON(S2), QC(SU)",
Sium suave,Water-parsnip,Sium,Sium suave,NA,NA,Sium suave Walter,,,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"AK(SNR), AL(SNR), AR(S1S3), AZ(S1), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(S3), IA(S4), ID(SNR), IL(SNR), IN(SNR), KS(S1), KY(S3S4), LA(S1S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S4), NC(S3S4), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NV(SNR), NY(S5), OH(SNR), OR(SNR), PA(S5), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(S1), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S3), WY(S2)","AB(S5), BC(S5), LB(S1), MB(S5), NB(S5), NF(S3S4), NS(S5), NT(S4), NU(SU), ON(S5), PE(S5), QC(S5?), SK(S4), YT(S3S4)",
Sorbus americana,Rowan,Sorbus,Sorbus americana,NA,NA,Sorbus americana Marsh,,,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"CT(SNR), GA(S1), GS(P3), IL(S1), MA(SNR), MD(S3), ME(SNR), MI(SNR), MN(SNR), NC(S3), NH(SNR), NJ(S2), NY(S5), PA(S4), RI(SNA), SC(SNR), TN(SNR), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4)","NB(S5), NF(S4S5), NS(S5), ON(S5), PE(S5), QC(S5?)",
Sorbus decora,Rowan,Sorbus,Sorbus decora,NA,NA,Sorbus decora (Sarg.) C.K.Schneid.,,,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"CT(SNR), IA(SNR), IL(SNR), IN(SX), MA(S1), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NY(S5), OH(S1), PA(S1), VT(S3), WI(SNR)","LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NU(SNR), ON(SNR), QC(S5?), SK(SNR)",
Sorbus scopulina,Rowan,Sorbus,Sorbus scopulina,NA,NA,Sorbus scopulina Greene,,,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,NNR,"AK(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S4S5), ND(SNR), NM(SNR), NV(SNR), OH(SNR), OR(SNR), SD(S3S4), UT(SNR), WA(SNR), WY(SNR)","AB(S5), BC(SNR), NT(SNR), SK(SNR), YT(SNR)",
Sorbus sitchensis,Rowan,Sorbus,Sorbus sitchensis,NA,NA,Sorbus sitchensis M.Roem.,,Y,N,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,G5,N5,"AK(SNR), CA(SNR), ID(SNR), MT(S4), OR(SNR), WA(SNR)","AB(S3), BC(S5), YT(S2S3)",
Sorbus sitchensis var. grayi,Rowan,Sorbus,Sorbus sitchensis,var.,grayi,Sorbus sitchensis var. grayi (Wenz.) C.L.Hitchc.,,Y,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,T5,N5,"AK(SNR), CA(SNR), OR(SNR), WA(SNR)",BC(S5),
Sorbus sitchensis var. sitchensis,Rowan,Sorbus,Sorbus sitchensis,var.,sitchensis,Sorbus sitchensis var. sitchensis,,Y,Y,Y,Y,fruit,Y,Forest Resources,Food,NA,Forest Resources,Fruits,,NA,2,NA,2,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020,T5,N5,"AK(SNR), ID(SNR), MT(S4), WA(SNR)","AB(S3), BC(S5), YT(S2S3)",
